event,eventLabel,date,start_date,end_date,countryLabel,locationLabel,participantLabel,biggerWarInstanceLabel,smallerWarInstanceLabel,casualties,isReligious,isCivil
http://www.wikidata.org/entity/Q233601,Second Carnatic War,,1749-01-01T00:00:00Z,1754-01-01T00:00:00Z,,,Mughal Empire,Carnatic Wars,"Battle of Seringham, Siege of Arcot, Battle of Arnee, Battle of Chingleput, Battle of Ambur",,no,no
http://www.wikidata.org/entity/Q233642,Second Anglo-Maratha War,1803-01-01T00:00:00Z,1803-01-01T00:00:00Z,1805-01-01T00:00:00Z,,,"East India Company, Maratha Empire",Anglo-Maratha Wars,"Siege of Aligarh, Battle of Laswari, Siege of Delhi, Siege of Deeg Fort, Battle of Farrukhabad, Battle of Argaon, Battle of Deeg, Capture of Gawilghur, Siege of Ahmednagar, Battle of Assaye, Battle of Bharatpur, Battle of Delhi, Battle of Mukandwara Pass, Battle of Poona",,no,no
http://www.wikidata.org/entity/Q233649,Second Margrave War,1552-01-01T00:00:00Z,1552-01-01T00:00:00Z,1555-01-01T00:00:00Z,,Franconia,"Principality of Bayreuth, Electorate of Saxony, Prince-Bishopric of Bamberg, Free Imperial City of Nuremberg, Schweinfurt, Prince-Bishopric of Speyer, Kingdom of Bohemia, Duchy of Brunswick-Lüneburg, Electorate of Mainz, Roman Catholic Diocese of Trier, Prince-Bishopric of Würzburg, Margraviate of Meissen",,Battle of Sievershausen,,no,no
http://www.wikidata.org/entity/Q233657,Second Matabele War,1897-10-01T00:00:00Z,1896-03-01T00:00:00Z,1897-10-01T00:00:00Z,Zimbabwe,Matabeleland,"company rule in Rhodesia, Shona people, British South Africa Company",,First Matabele War,,no,no
http://www.wikidata.org/entity/Q233663,Second Anglo-Mysore War,1780-01-01T00:00:00Z,1780-01-01T00:00:00Z,1784-01-01T00:00:00Z,,South India,"Dutch Republic, Kingdom of France, East India Company, Electorate of Brunswick-Lüneburg, Kingdom of Mysore, Kingdom of Great Britain",Anglo-Mysore Wars,"Siege of Tellicherry, Battle of Sholinghur, Battle of Pollilur, Battle of Porto Novo, Siege of Cuddalore",,no,no
http://www.wikidata.org/entity/Q233667,Second Olynthian War,,-0348-01-01T00:00:00Z,-0347-01-01T00:00:00Z,,,"Macedonia, Chalkidian League",,,,no,no
http://www.wikidata.org/entity/Q233702,Second Silesian War,1745-12-25T00:00:00Z,1744-08-07T00:00:00Z,1745-12-25T00:00:00Z,,Silesia,"Electorate of Saxony, Habsburg monarchy, Kingdom of Prussia",War of the Austrian Succession,"Battle of Hohenfriedberg, Battle of Kesselsdorf",,no,no
http://www.wikidata.org/entity/Q240243,Wars of Kappel,,,,,,,,"Second War of Kappel, First War of Kappel",,no,no
http://www.wikidata.org/entity/Q246863,Livonian War,1558-02-01T00:00:00Z,1558-01-17T00:00:00Z,1583-05-26T00:00:00Z,,Northern Europe,"Tsardom of Russia, Grand Duchy of Lithuania, Polish–Lithuanian Commonwealth",Northern Wars,"Battle of Ergeme, Battles of Wenden, Siege of Pskov, siege of Wesenberg, Siege of Fellini, Krzysztof Radziwiłł's raid to Moscow, Battle of Toropets, Siege of Velikiye Luki, Siege of Weissenstein, Battle of Nevel, Battle of Ula, Siege of Narva, Russo-Lithuanian War (1561-1570), Livonian campaign of Stephen Báthory, Battle of Lode",,no,no
http://www.wikidata.org/entity/Q248984,Muslim conquest of Syria,,0633-01-01T00:00:00Z,0640-01-01T00:00:00Z,,Near East,"Rashidun Caliphate, Ghassanids, Byzantine Empire","Muslim conquests, Arab–Byzantine wars","Battle of Bosra, Battle of Maraj-al-Debaj, Siege of Emesa, Battle of Yaqusa, Battle of Fahl, Battle of Marj Rahit, Battle of Hazir, Battle of the Iron Bridge, Battle of Yarmouk, Battle of al-Qaryatayn, Siege of Damascus (634), Siege of Aleppo, Battle of Ajnadayn, Siege of Jerusalem",,no,no
