War URI,War Label
http://www.wikidata.org/entity/Q696389,Soviet–Japanese border conflicts
http://www.wikidata.org/entity/Q696848,Anglo-Iraqi War
http://www.wikidata.org/entity/Q698281,Italian War of 1521–1526
http://www.wikidata.org/entity/Q698312,Aroostook War
http://www.wikidata.org/entity/Q699511,Campaigns of 1796 in the French Revolutionary Wars
http://www.wikidata.org/entity/Q699602,Cretan War
http://www.wikidata.org/entity/Q700841,Ottoman-Safavid War
http://www.wikidata.org/entity/Q701644,Ottoman–Safavid War
http://www.wikidata.org/entity/Q703426,Goguryeo–Yamato War
http://www.wikidata.org/entity/Q706183,Sino-French War
http://www.wikidata.org/entity/Q710709,Silla–Tang War
http://www.wikidata.org/entity/Q714557,Kalinga War
http://www.wikidata.org/entity/Q717373,Japanese invasion of Taiwan (1895)
http://www.wikidata.org/entity/Q720936,Polish–Teutonic War of 1431–35
http://www.wikidata.org/entity/Q722041,Ashanti–Akim–Akwapim War
http://www.wikidata.org/entity/Q722047,Ashanti–Fante War
http://www.wikidata.org/entity/Q722051,Anglo-Ashanti wars
http://www.wikidata.org/entity/Q722713,Portuguese-Turkish War
http://www.wikidata.org/entity/Q727922,Cologne Diocesan Feud
http://www.wikidata.org/entity/Q735349,Russian conquest of Siberia
http://www.wikidata.org/entity/Q738787,Lelantine War
http://www.wikidata.org/entity/Q739644,Overland Campaign
http://www.wikidata.org/entity/Q740791,Serbo-Bulgarian War
http://www.wikidata.org/entity/Q742813,Chincha Islands War
http://www.wikidata.org/entity/Q744969,Han–Xiongnu War
http://www.wikidata.org/entity/Q748780,First Indochina War
http://www.wikidata.org/entity/Q749397,eastern theater of the American Civil War
http://www.wikidata.org/entity/Q759988,Zanj Rebellion
http://www.wikidata.org/entity/Q759998,Berber Revolt
http://www.wikidata.org/entity/Q762191,Ottoman–Portuguese conflicts of 1538–1560
http://www.wikidata.org/entity/Q765656,Tarrantine War
http://www.wikidata.org/entity/Q766437,Rif War
http://www.wikidata.org/entity/Q768496,Banana Wars
http://www.wikidata.org/entity/Q772814,Caste War of Yucatán
http://www.wikidata.org/entity/Q773192,Lowry War
http://www.wikidata.org/entity/Q777345,Mad War
http://www.wikidata.org/entity/Q780845,Franco-Thai War
http://www.wikidata.org/entity/Q797952,Babylonian War
http://www.wikidata.org/entity/Q799801,Bafut Wars
http://www.wikidata.org/entity/Q807741,Barbary Wars
http://www.wikidata.org/entity/Q809687,First Kurdish–Iraqi War
http://www.wikidata.org/entity/Q809750,Bavarian War
http://www.wikidata.org/entity/Q815167,Siege of Constantinople (860)
http://www.wikidata.org/entity/Q827286,First Bremish-Swedish War
http://www.wikidata.org/entity/Q827612,Jugurthine War
http://www.wikidata.org/entity/Q832273,Eritrean–Ethiopian War
http://www.wikidata.org/entity/Q834498,Hunger War
http://www.wikidata.org/entity/Q838695,First Congo War
http://www.wikidata.org/entity/Q840403,First Zhili–Fengtian War
http://www.wikidata.org/entity/Q842774,Polish–Ukrainian War
http://www.wikidata.org/entity/Q849680,American Indian Wars
http://www.wikidata.org/entity/Q856168,Pastry War
http://www.wikidata.org/entity/Q857982,First Matabele War
http://www.wikidata.org/entity/Q859815,Ishiyama Hongan-ji War
http://www.wikidata.org/entity/Q862257,King Philip's War
http://www.wikidata.org/entity/Q862440,Byzantine–Georgian wars
http://www.wikidata.org/entity/Q864847,Second Zhili–Fengtian War
http://www.wikidata.org/entity/Q870077,Transalpine campaigns of the Old Swiss Confederacy
http://www.wikidata.org/entity/Q870196,Russo-Swedish War of 1788–1790
http://www.wikidata.org/entity/Q870205,Bündner Wirren
http://www.wikidata.org/entity/Q879980,Black Hawk War
http://www.wikidata.org/entity/Q880629,Black War
http://www.wikidata.org/entity/Q881762,Samoan Civil War
http://www.wikidata.org/entity/Q886263,Flower war
http://www.wikidata.org/entity/Q887684,Muslim conquest of Persia
http://www.wikidata.org/entity/Q894486,Bosphorus War
http://www.wikidata.org/entity/Q897936,Brandenburg Privateering War
http://www.wikidata.org/entity/Q898763,Ottoman–Portuguese conflicts of 1586–1589
http://www.wikidata.org/entity/Q900693,Seminole Wars
http://www.wikidata.org/entity/Q903199,Cimbrian War
http://www.wikidata.org/entity/Q916495,Second Anglo-Dutch War
http://www.wikidata.org/entity/Q923852,Crimean-Russian Wars
http://www.wikidata.org/entity/Q924600,War against Sigismund
http://www.wikidata.org/entity/Q925960,Muslim conquest of the Maghreb
http://www.wikidata.org/entity/Q926514,Samian War
http://www.wikidata.org/entity/Q933498,Croatian–Bulgarian Wars
http://www.wikidata.org/entity/Q933963,Marcomannic Wars
http://www.wikidata.org/entity/Q936803,First Syrian War (274–271 BCE)
http://www.wikidata.org/entity/Q937255,Polish-Lithuanian-Teutonic War
http://www.wikidata.org/entity/Q937265,Wadai War
http://www.wikidata.org/entity/Q938839,Bulgarian–Serbian Wars
http://www.wikidata.org/entity/Q957586,Turkish–Armenian War
http://www.wikidata.org/entity/Q959303,War in Abkhazia (1998)
http://www.wikidata.org/entity/Q961430,Ottoman–Venetian War of 1570–1573
http://www.wikidata.org/entity/Q976827,Carnatic Wars
http://www.wikidata.org/entity/Q989092,First Anglo-Afghan War
http://www.wikidata.org/entity/Q989105,First Prussian uprising
http://www.wikidata.org/entity/Q989115,First Italo-Ethiopian War
http://www.wikidata.org/entity/Q990347,Transylvanian Civil War
http://www.wikidata.org/entity/Q990370,Transylvanian–Ottoman War
http://www.wikidata.org/entity/Q1006077,Social War (220-217 BCE)
http://www.wikidata.org/entity/Q1014253,Mongol conquest of the Jin dynasty
http://www.wikidata.org/entity/Q1016077,Burgundy War
http://www.wikidata.org/entity/Q1019601,Böckler war
http://www.wikidata.org/entity/Q1044829,Polish–Muscovite War
http://www.wikidata.org/entity/Q1052060,Cayuse War
http://www.wikidata.org/entity/Q1054482,Three Hundred and Thirty Five Years' War
http://www.wikidata.org/entity/Q1064335,Pig War
http://www.wikidata.org/entity/Q1069736,Croat–Bosniak War
http://www.wikidata.org/entity/Q1070342,King William's War
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006–2009)
http://www.wikidata.org/entity/Q1073446,Swedish–Novgorodian Wars
http://www.wikidata.org/entity/Q1074467,War of Chioggia
http://www.wikidata.org/entity/Q1076902,Chremonidean War
http://www.wikidata.org/entity/Q1107697,Safavid–Portuguese conflicts
http://www.wikidata.org/entity/Q1112854,Ming–Hồ War
http://www.wikidata.org/entity/Q1113196,Comacchio war
http://www.wikidata.org/entity/Q1116646,Anglo-Swedish War
http://www.wikidata.org/entity/Q1122337,Second Persian invasion of Greece
http://www.wikidata.org/entity/Q1123592,Cisalpine Gaul War
http://www.wikidata.org/entity/Q1132940,Polish–Cossack–Tatar War
http://www.wikidata.org/entity/Q1132994,Polish–Ottoman War of 1683–99
http://www.wikidata.org/entity/Q1136575,Vandalic War
http://www.wikidata.org/entity/Q1139484,Creek War of 1836
http://www.wikidata.org/entity/Q1139887,Russo-Persian War
http://www.wikidata.org/entity/Q1140134,invasion of Ryukyu
http://www.wikidata.org/entity/Q1143379,1991–1992 South Ossetia War
http://www.wikidata.org/entity/Q1151913,First Anglo-Dutch War
http://www.wikidata.org/entity/Q1153331,Second Ottoman–Venetian War
http://www.wikidata.org/entity/Q1154983,First Ottoman–Venetian War
http://www.wikidata.org/entity/Q1155294,Palatine Peasants' War
http://www.wikidata.org/entity/Q1156798,Dachstein War
http://www.wikidata.org/entity/Q1163213,Hungarian–Turkish War (1521–26)
http://www.wikidata.org/entity/Q1164169,Burmese–Siamese War of 1547–1549
http://www.wikidata.org/entity/Q1178498,Polish-Ottoman war
http://www.wikidata.org/entity/Q1186260,Creek War
http://www.wikidata.org/entity/Q1187411,Gosannen War
http://www.wikidata.org/entity/Q1187448,Zenkunen War
http://www.wikidata.org/entity/Q1195833,Jiang Wei's Northern Expeditions
http://www.wikidata.org/entity/Q1202331,Germany Unification War
http://www.wikidata.org/entity/Q1202928,Lusitanian War
http://www.wikidata.org/entity/Q1207617,Pequot War
http://www.wikidata.org/entity/Q1208479,Georgian–Ossetian conflict (1918–1920)
http://www.wikidata.org/entity/Q1209169,War in Abkhazia
http://www.wikidata.org/entity/Q1209946,Third Anglo-Burmese War
http://www.wikidata.org/entity/Q1218354,War of the Three Sanchos
http://www.wikidata.org/entity/Q1225948,Russo-Turkish War (1570–74)
http://www.wikidata.org/entity/Q1229305,Julian's Persian War
http://www.wikidata.org/entity/Q1230787,First Celtiberian War
http://www.wikidata.org/entity/Q1235331,Greek-Punic Wars
http://www.wikidata.org/entity/Q1249250,First Sacred War
http://www.wikidata.org/entity/Q1249270,Third Sacred War
http://www.wikidata.org/entity/Q1259237,Third Anglo-Afghan War
http://www.wikidata.org/entity/Q1262084,Djiboutian Civil War
http://www.wikidata.org/entity/Q1262106,Amadu's Jihad
http://www.wikidata.org/entity/Q1265114,Father Rale's War
http://www.wikidata.org/entity/Q1265861,Great Illyrian Revolt
http://www.wikidata.org/entity/Q1269777,Dano-Swedish War of 1808-1809
http://www.wikidata.org/entity/Q1271059,Shifta War
http://www.wikidata.org/entity/Q1289560,Seventh French War of Religion
http://www.wikidata.org/entity/Q1305130,War of Saint Sabas
http://www.wikidata.org/entity/Q1332160,Indonesian National Revolution
http://www.wikidata.org/entity/Q1337911,Siamese-Cambodian War 1622
http://www.wikidata.org/entity/Q1342672,Anglo-Powhatan Wars
http://www.wikidata.org/entity/Q1348630,Ridda wars
http://www.wikidata.org/entity/Q1349425,Spanish–Portuguese War
http://www.wikidata.org/entity/Q1352215,Polish–Russian War of 1792
http://www.wikidata.org/entity/Q1352401,Bombardment of Kagoshima
http://www.wikidata.org/entity/Q1354920,Djiboutian–Eritrean border conflict
http://www.wikidata.org/entity/Q1355145,Italian War of 1494–1495
http://www.wikidata.org/entity/Q1359846,Franco-Siamese War
http://www.wikidata.org/entity/Q1361199,Conquest of the Khanate of Sibir
http://www.wikidata.org/entity/Q1361354,Nine Years' War
http://www.wikidata.org/entity/Q1361929,Indonesia–Malaysia confrontation
http://www.wikidata.org/entity/Q1362162,First Carnatic War
http://www.wikidata.org/entity/Q1362205,First Olynthian War
http://www.wikidata.org/entity/Q1362209,First Anglo-Maratha War
http://www.wikidata.org/entity/Q1362238,World War I outside Europe
http://www.wikidata.org/entity/Q1366196,Gothic War (376–382)
http://www.wikidata.org/entity/Q1367731,Saudi–Yemeni War
http://www.wikidata.org/entity/Q1367977,Esopus Wars
http://www.wikidata.org/entity/Q1369423,Toledo War
http://www.wikidata.org/entity/Q1373706,Ayutthayan–Cambodian War
http://www.wikidata.org/entity/Q1377132,Kieft's War
http://www.wikidata.org/entity/Q1382989,Rogue River Wars
http://www.wikidata.org/entity/Q1413732,Kashmir conflict
